id,type,category,question,choice1,choice2,choice3,choice4,answer,explanation,hint
1,객관식,기술교육론·교육과정,2022 개정 중학교 기술 영역의 구성 방향으로 가장 적절한 것은?,"기술적 문제해결과 혁신, 지속가능한 기술과 융합을 중심으로 구성한다",가정생활과 소비생활만 독립 영역으로 구성한다,기계제도와 목공 실습만 필수 영역으로 구성한다,정보 과목의 프로그래밍 내용만 별도 운영한다,1,"2022 개정 기술 영역은 기술적 문제 해결과 혁신, 지속가능한 기술과 융합의 관점에서 기술 소양과 실천 역량을 기르는 데 초점을 둔다.",힌트: 기술을 단순 기능이 아니라 문제해결·지속가능성과 연결합니다.
2,객관식,기술교육론·교육과정,기술교육에서 기술적 소양을 가장 바르게 설명한 것은?,특정 직업 기능을 반복 숙련하는 능력,"기술의 개념, 영향, 활용을 이해하고 합리적으로 판단·사용하는 능력",기계 부품 명칭만 암기하는 능력,공구를 사용하지 않고 이론만 학습하는 능력,2,기술적 소양은 기술을 이해하고 평가하며 사회적 맥락에서 책임 있게 활용하는 능력이다.,힌트: 직업 기능 하나보다 시민으로서 기술을 이해하는 능력입니다.
3,객관식,기술교육론·교육과정,기술적 문제해결학습에서 일반적으로 가장 먼저 이루어져야 할 활동은?,해결안 평가하기,최종 제품을 먼저 제작하기,문제 상황을 확인하고 요구 조건을 파악하기,점수 기준만 암기하기,3,"기술적 문제해결 과정은 문제 확인, 아이디어 탐색과 선정, 설계, 제작, 평가와 개선의 흐름으로 진행된다.",힌트: 해결책보다 먼저 문제와 조건을 파악합니다.
4,객관식,기술교육론·교육과정,디자인 씽킹 수업에서 사용자의 불편을 관찰하고 인터뷰하는 단계는?,프로토타입 제작하기,시험하기,양산하기,공감하기,4,"디자인 씽킹의 공감 단계는 사용자의 상황, 요구, 불편을 이해하기 위해 관찰과 인터뷰를 수행하는 단계이다.",힌트: 사용자의 입장에서 문제를 느끼는 단계입니다.
5,객관식,기술교육론·교육과정,디자인 씽킹 단계의 일반적인 순서로 가장 적절한 것은?,공감-문제정의-아이디어-프로토타입-테스트,테스트-양산-공감-암기-폐기,제작-채점-공감-정리-암기,문제정의-테스트-공감-양산-설명,1,"디자인 씽킹은 공감, 문제정의, 아이디어 도출, 프로토타입 제작, 테스트의 순환적 과정으로 설명된다.",힌트: 사용자 이해에서 시작해 시제품 검증으로 이어집니다.
6,객관식,기술교육론·교육과정,STAD 협동학습 모형에서 개별 향상 점수를 활용하는 주된 이유는?,성적이 높은 학생만 보상하기 위해,개인의 이전 수준 대비 향상을 반영하여 참여 기회를 공정하게 보장하기 위해,모둠활동을 금지하기 위해,교사 설명 시간을 없애기 위해,2,STAD는 개별 평가 후 향상 점수를 모둠 점수에 반영하여 다양한 수준의 학생이 기여할 수 있게 한다.,힌트: 현재 점수보다 이전 점수 대비 향상이 중요합니다.
7,객관식,기술교육론·교육과정,직소 협동학습에서 전문가 집단의 역할로 가장 적절한 것은?,모든 학생이 같은 문제를 혼자 푼다,교사만 발표하고 학생은 듣는다,같은 하위 주제를 맡은 학생들이 모여 깊이 학습한 뒤 원집단에서 가르친다,평가 없이 결과물을 폐기한다,3,직소 모형은 하위 주제를 분담하고 전문가 집단에서 학습한 후 원집단으로 돌아가 서로 가르치는 구조이다.,힌트: 각자가 맡은 부분의 전문가가 됩니다.
8,객관식,기술교육론·교육과정,기술 수업에서 포트폴리오 평가를 활용하는 주된 이유는?,완성품의 가격만 평가하기 위해,학생 간 서열만 공개하기 위해,공구 사용을 금지하기 위해,"계획, 제작, 수정, 반성 등 학습 과정을 종합적으로 보기 위해",4,"포트폴리오는 산출물뿐 아니라 문제해결 과정, 설계 변화, 자기평가 등을 함께 살필 수 있다.",힌트: 최종 결과물보다 과정 기록에 강점이 있습니다.
9,객관식,기술교육론·교육과정,기술영향평가의 목적에 가장 가까운 것은?,기술의 긍정적·부정적 영향을 예측하고 사회적 의사결정에 도움을 주는 것,신기술을 무조건 금지하는 것,제품 가격만 결정하는 것,기술자를 선발하는 시험,1,"기술영향평가는 기술이 인간, 사회, 환경에 미칠 영향을 분석하여 바람직한 활용 방향을 판단하도록 돕는다.",힌트: 기술이 사회에 미칠 결과를 미리 살피는 활동입니다.
10,객관식,기술교육론·교육과정,확산적 사고 기법에 해당하는 것으로 가장 적절한 것은?,체크리스트 점수 합산만 하기,SCAMPER,최종안 1개만 암기하기,정답률 계산만 하기,2,"SCAMPER는 대체, 결합, 적용, 변형, 다른 용도, 제거, 재배치 등의 질문으로 다양한 아이디어를 확산시키는 기법이다.",힌트: 아이디어를 넓게 많이 떠올리는 기법입니다.
11,객관식,제조·재료·제도,용융 금속을 정밀한 금형에 고압·고속으로 주입하여 대량 생산에 적합한 주조법은?,사형 주조,원심 주조,다이캐스팅,인베스트먼트 주조,3,다이캐스팅은 금형에 용융 금속을 고압으로 주입하여 얇고 복잡한 제품을 빠르게 생산하는 주조법이다.,힌트: 자동차 부품처럼 대량 생산 금속 제품을 떠올리세요.
12,객관식,제조·재료·제도,금속판을 두 전극 사이에 놓고 전류와 압력을 이용해 접합하는 저항 용접법은?,가스용접,아크절단,브레이징,점용접,4,점용접은 전류에 의한 저항열과 전극 압력을 이용해 판재를 국부적으로 접합한다.,힌트: 자동차 차체 판재 접합에 많이 쓰입니다.
13,객관식,제조·재료·제도,와이어 전극과 공작물 사이의 방전을 이용하여 임의 형상을 절단하는 가공법은?,와이어 방전가공,선반 가공,압연,단조,1,와이어 방전가공은 가는 와이어 전극과 방전 에너지를 이용해 전도성 재료를 정밀하게 절단한다.,힌트: 가늘고 긴 전극선으로 금속을 정밀 절단합니다.
14,객관식,제조·재료·제도,원통 용기의 끝부분 지름을 줄이는 목조르기 가공은?,비딩,네킹,블랭킹,피어싱,2,네킹은 원통 또는 용기 끝부분의 지름을 줄이는 성형 가공이다.,힌트: neck이라는 말처럼 목 부분을 좁힙니다.
15,객관식,제조·재료·제도,원통 용기의 가장자리를 둥글게 말아 강도와 안전성을 높이는 가공은?,네킹,드로잉,비딩,전단,3,"비딩은 용기 가장자리를 말아 테두리를 형성하여 강성, 안전성, 외관을 향상시키는 가공이다.",힌트: 캔의 둥근 테두리를 떠올리세요.
16,객관식,제조·재료·제도,도면에서 보이는 물체의 외형을 표시할 때 주로 사용하는 선은?,가는 파선,일점쇄선,이점쇄선,굵은 실선,4,외형선은 물체의 보이는 윤곽을 나타내며 보통 굵은 실선을 사용한다.,힌트: 눈에 보이는 모양은 가장 뚜렷한 선으로 표시합니다.
17,객관식,제조·재료·제도,물체가 이동한 후의 위치나 인접 부품의 가상 위치를 나타내는 선은?,이점쇄선,굵은 실선,파단선,치수선,1,가상선은 이동 후 위치나 가상의 형태를 나타낼 때 사용하며 일반적으로 이점쇄선으로 표현한다.,힌트: 실제 외형이 아니라 가상의 위치입니다.
18,객관식,제조·재료·제도,"3차원 물체를 정면도, 평면도, 우측면도 등 2차원 도면으로 나타내는 투상법은?",사투상법,정투상법,투시도법,전개도법,2,정투상법은 물체를 서로 직각인 투상면에 투영하여 여러 방향의 모습을 2차원으로 나타낸다.,힌트: 제3각법 도면을 떠올리세요.
19,객관식,제조·재료·제도,3D 프린팅에서 재료를 한 층씩 쌓아 입체물을 만드는 제조 방식은?,절삭 가공,압연 가공,적층 제조,사출 성형,3,적층 제조는 재료를 층층이 쌓아 제품을 만드는 방식으로 3D 프린팅의 핵심 원리이다.,힌트: 깎는 방식이 아니라 쌓는 방식입니다.
20,객관식,제조·재료·제도,탄소 원자가 육각형 벌집 구조로 한 층 배열된 2차원 신소재는?,탄소나노튜브,나일론,세라믹 타일,그래핀,4,그래핀은 탄소 원자가 2차원 평면의 육각형 구조로 배열된 신소재이다.,힌트: 단원자 두께의 2차원 탄소 구조입니다.
21,객관식,전기전자·정보통신·AI,일정한 역방향 전압에서 항복 특성을 이용하여 직류 전압 안정화에 쓰이는 다이오드는?,제너 다이오드,발광 다이오드,포토 다이오드,터널 다이오드,1,제너 다이오드는 역방향 항복 영역에서 거의 일정한 전압을 유지하므로 전압 안정화 회로에 사용된다.,힌트: 역방향 바이어스에서 전압을 일정하게 유지합니다.
22,객관식,전기전자·정보통신·AI,교류를 직류로 바꾸는 회로의 기능은?,증폭,정류,변조,복호화,2,정류는 교류 전류의 방향을 한쪽으로 바꾸어 직류 성분으로 변환하는 작용이다.,힌트: AC를 DC로 바꾸는 과정입니다.
23,객관식,전기전자·정보통신·AI,브리지 정류회로의 일반적 장점으로 적절한 것은?,반드시 배터리를 제거해야 한다,교류를 더 높은 주파수의 교류로만 바꾼다,변압기 중간 탭 없이 전파 정류가 가능하다,저항값을 0으로 만든다,3,브리지 정류회로는 네 개의 다이오드를 사용하여 중간 탭 없이 전파 정류를 구현할 수 있다.,힌트: 다이오드 4개로 양 반주기를 모두 이용합니다.
24,객관식,전기전자·정보통신·AI,변압기에서 1차 권수보다 2차 권수가 많을 때 나타나는 현상은?,주파수가 0이 된다,전류가 항상 증가한다,교류가 직류가 된다,전압이 승압된다,4,이상적인 변압기에서 전압은 권수비에 비례하므로 2차 권수가 더 많으면 전압이 올라간다.,힌트: 전압은 권선 수 비율을 따릅니다.
